date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-07-06,5.23,5.34,5.29,5.14,21677.51,0.06,1.15,5.378,5.393,5.694,22005.08,21472.74,28487.38
2018-07-05,5.44,5.46,5.23,5.2,20831.57,-0.22,-4.04,5.414,5.405,5.769,22112.4,21780.87,28859.5
2018-07-04,5.48,5.55,5.46,5.36,19521.0,-0.04,-0.73,5.432,5.417,5.845,21279.89,24009.47,29256.07
2018-07-03,5.41,5.52,5.5,5.35,21147.86,0.09,1.66,5.418,5.407,5.911,21219.09,25580.42,30151.81
2018-07-02,5.47,5.62,5.41,5.36,26847.44,-0.07,-1.28,5.406,5.388,5.971,21628.61,29545.11,31071.33
2018-06-29,5.36,5.5,5.47,5.34,22214.15,0.14,2.63,5.408,5.438,6.032,20940.41,32055.57,31502.0
2018-06-28,5.37,5.47,5.32,5.28,16669.0,-0.07,-1.3,5.396,5.532,6.094,21449.33,32721.88,32153.98
2018-06-27,5.43,5.5,5.39,5.35,19217.0,-0.05,-0.92,5.402,5.639,6.159,26739.05,34188.47,33900.81
2018-06-26,5.25,5.45,5.44,5.23,23195.44,0.02,0.37,5.396,5.754,6.233,29941.74,35120.33,35722.08
2018-06-25,5.49,5.5,5.42,5.32,23406.44,0.01,0.18,5.37,5.871,6.312,37461.61,35053.36,37885.76
2018-06-22,5.33,5.44,5.41,5.17,24758.78,0.07,1.31,5.468,5.995,6.405,43170.72,35502.02,41640.65
2018-06-21,5.42,5.58,5.35,5.32,43117.61,-0.01,-0.19,5.668,6.133,6.507,43994.42,35938.14,48884.2
2018-06-20,5.39,5.42,5.36,5.16,35230.45,0.05,0.94,5.876,6.273,6.594,41637.89,34502.66,51118.44
2018-06-19,5.89,5.89,5.31,5.31,60794.78,-0.59,-10.0,6.112,6.414,6.676,40298.92,34723.19,51512.42
2018-06-15,6.42,6.46,5.91,5.85,51952.0,-0.5,-7.8,6.372,6.554,6.763,32645.11,32597.54,52756.79
2018-06-14,6.36,6.5,6.41,6.3,28877.27,0.02,0.31,6.522,6.625,6.81,27833.31,30948.44,51785.94
2018-06-13,6.52,6.64,6.39,6.35,31334.96,-0.15,-2.29,6.598,6.655,6.827,27881.86,31586.08,51758.17
2018-06-12,6.61,6.66,6.54,6.5,28535.58,-0.07,-1.06,6.67,6.678,6.849,27367.43,33613.14,51879.22
2018-06-11,6.65,6.7,6.61,6.59,22525.74,-0.05,-0.75,6.716,6.711,6.863,29147.47,36323.84,51636.3
2018-06-08,6.68,6.79,6.66,6.64,27893.01,-0.12,-1.77,6.736,6.753,6.871,32549.97,40718.16,52322.11
2018-06-07,6.75,6.8,6.79,6.73,29120.0,0.04,0.59,6.728,6.815,6.885,34063.57,47779.29,52640.11
2018-06-06,6.72,6.83,6.75,6.7,28762.82,-0.01,-0.15,6.712,6.881,6.893,35290.3,61830.26,53482.01
2018-06-05,6.74,6.77,6.77,6.64,37435.77,0.06,0.89,6.686,6.915,6.901,39858.85,67734.22,54134.06
2018-06-04,6.72,6.86,6.71,6.7,39538.27,0.1,1.51,6.706,6.937,6.911,43500.2,68301.65,55096.72
2018-06-01,6.63,6.71,6.62,6.59,35461.0,-0.08,-1.19,6.77,6.972,6.917,48886.35,72916.04,55231.33
2018-05-31,6.62,6.73,6.71,6.58,35253.63,0.09,1.36,6.902,6.995,6.921,61495.0,72623.43,55090.83
2018-05-30,6.79,6.79,6.62,6.6,51605.58,-0.25,-3.64,7.05,6.998,6.927,88370.22,71930.27,56655.55
2018-05-29,6.99,7.03,6.87,6.85,55642.53,-0.15,-2.14,7.144,7.02,6.935,95609.59,70145.29,56188.86
2018-05-28,7.13,7.18,7.03,6.95,66469.0,-0.25,-3.43,7.168,7.015,6.936,93103.09,66948.77,55270.52
2018-05-25,7.4,7.56,7.28,7.24,98504.26,-0.16,-2.15,7.174,6.989,6.927,96945.73,63926.06,54767.17
2018-05-24,7.1,7.64,7.45,7.0,169629.73,0.35,4.93,7.088,6.954,6.917,83751.86,57500.93,52732.01
2018-05-23,6.92,7.22,7.09,6.92,87802.43,0.1,1.43,6.946,6.905,6.903,55490.32,45133.77,46913.23
2018-05-22,7.02,7.03,6.99,6.91,43110.03,-0.07,-0.99,6.896,6.887,6.901,44681.0,40533.9,46386.32
2018-05-21,6.89,7.2,7.06,6.85,85682.18,0.2,2.92,6.862,6.885,6.912,40794.44,41891.79,49934.21
2018-05-18,6.73,6.87,6.85,6.73,32534.94,0.11,1.63,6.804,6.862,6.946,30906.4,37546.62,52245.38
2018-05-17,6.8,6.86,6.74,6.71,28322.0,-0.1,-1.46,6.82,6.847,6.985,31250.0,37558.22,59727.58
2018-05-16,6.78,6.93,6.84,6.75,33755.84,0.02,0.29,6.864,6.855,7.048,34777.22,41380.83,76708.39
2018-05-15,6.77,6.83,6.82,6.72,23677.24,0.05,0.74,6.878,6.849,7.129,36386.8,42232.42,86110.23
2018-05-14,6.91,6.93,6.77,6.72,36241.98,-0.16,-2.31,6.908,6.856,7.172,42989.15,43592.27,88988.17
2018-05-11,6.95,6.98,6.93,6.91,34252.93,-0.03,-0.43,6.92,6.865,7.229,44186.84,45608.27,93476.93
2018-05-10,6.91,7.0,6.96,6.9,45958.11,0.06,0.87,6.874,6.88,7.273,43866.45,47963.08,98068.73
2018-05-09,6.93,6.97,6.91,6.86,41803.75,-0.06,-0.86,6.846,6.901,7.322,47984.43,48692.69,108636.67
2018-05-08,6.82,7.0,6.97,6.78,56688.96,0.14,2.05,6.82,6.914,7.392,48078.04,52238.74,120813.05
2018-05-07,6.7,6.87,6.83,6.69,42230.43,0.13,1.94,6.804,6.938,7.421,44195.39,57976.62,121824.02
2018-05-04,6.82,6.82,6.7,6.7,32651.0,-0.12,-1.76,6.81,7.029,7.462,47029.71,66944.13,125331.76
2018-05-03,6.75,6.85,6.82,6.57,66548.01,0.05,0.74,6.886,7.123,7.494,52059.71,81896.93,126173.29
2018-05-02,6.83,6.88,6.78,6.69,42271.78,-0.11,-1.6,6.956,7.24,7.522,49400.95,112035.96,125249.91
2018-04-27,6.89,6.97,6.89,6.82,37275.75,0.04,0.58,7.008,7.408,7.549,56399.45,129988.05,125924.72
2018-04-26,7.06,7.09,6.86,6.85,56402.0,-0.23,-3.24,7.072,7.488,7.563,71757.85,134384.06,126340.89
2018-04-25,7.12,7.15,7.08,7.01,57801.01,-0.09,-1.25,7.248,7.592,7.574,86858.56,141345.58,125423.04
2018-04-24,7.05,7.21,7.17,7.03,53254.23,0.14,1.99,7.36,7.666,7.569,111734.15,148174.39,124521.0
2018-04-23,7.18,7.19,7.04,6.89,77264.24,-0.17,-2.36,7.524,7.743,7.55,174670.96,168580.66,124967.23
2018-04-20,7.64,7.65,7.21,7.2,114067.77,-0.53,-6.85,7.808,7.87,7.564,203576.65,189387.36,122823.5
2018-04-19,7.63,7.85,7.74,7.51,131905.55,0.11,1.44,7.904,7.903,7.571,197010.27,185671.42,119520.2
2018-04-18,7.85,7.86,7.64,7.31,182178.95,-0.36,-4.5,7.936,7.895,7.55,195832.6,183719.39,114954.87
2018-04-17,8.54,8.95,7.99,7.92,367938.28,-0.47,-5.56,7.972,7.864,7.537,184614.62,170449.66,108053.39
2018-04-16,8.46,8.46,8.46,8.35,221792.7,0.77,10.01,7.962,7.804,7.512,162490.35,138463.87,91307.15
2018-04-13,7.83,7.9,7.69,7.57,81235.87,-0.22,-2.78,7.932,7.689,7.465,175198.07,121861.39,83042.76
2018-04-12,7.81,8.13,7.9,7.71,126017.19,0.09,1.15,7.902,7.638,7.466,174332.57,118297.71,81742.98
2018-04-11,7.77,7.91,7.82,7.66,126089.08,-0.09,-1.14,7.854,7.556,7.462,171606.17,109500.49,78718.89
2018-04-10,8.0,8.28,7.94,7.48,257316.92,-0.37,-4.45,7.756,7.471,7.459,156284.7,100867.62,76364.28
2018-04-09,7.71,8.31,8.31,7.53,285331.31,0.76,10.07,7.646,7.356,7.443,114437.39,81353.81,67000.78
2018-04-04,7.69,7.72,7.54,7.54,76908.34,-0.13,-1.7,7.446,7.258,7.409,68524.7,56259.63,55421.02
2018-04-03,7.21,7.69,7.66,7.12,112385.22,0.33,4.5,7.374,7.239,7.412,62262.85,53368.98,56075.0
2018-04-02,7.41,7.59,7.33,7.28,49481.69,-0.07,-0.95,7.258,7.204,7.404,47394.81,46190.35,54227.79
2018-03-30,7.3,7.5,7.39,7.25,48080.37,0.08,1.09,7.186,7.209,7.41,45450.55,45657.12,55175.12
2018-03-29,7.22,7.39,7.31,7.05,55767.87,0.13,1.81,7.066,7.22,7.41,48270.23,44150.43,55778.4
2018-03-28,7.0,7.24,7.18,6.93,45599.12,0.11,1.56,7.07,7.241,7.415,43994.57,44224.13,56622.03
2018-03-27,7.0,7.14,7.08,7.0,38045.0,0.11,1.58,7.104,7.293,7.424,44475.1,45188.25,56641.92
2018-03-26,6.76,7.01,6.97,6.5,39760.37,0.18,2.65,7.15,7.367,7.441,44985.9,47937.28,57878.51
2018-03-23,7.01,7.12,6.79,6.66,62178.78,-0.54,-7.37,7.232,7.446,7.466,45863.7,51860.94,60476.43
2018-03-22,7.31,7.45,7.33,7.22,34389.57,-0.02,-0.27,7.374,7.529,7.494,40030.63,52647.76,63065.42
2018-03-21,7.31,7.59,7.35,7.3,48001.79,0.04,0.55,7.412,7.559,7.507,44453.69,54582.42,70529.97
