,code,name,area
0,603197,保隆科技,上海
1,601328,交通银行,上海
2,603579,荣泰健康,上海
3,600837,海通证券,上海
4,600835,上海机电,上海
5,600851,海欣股份,上海
6,600097,开创国际,上海
7,601519,大智慧,上海
8,002454,松芝股份,上海
9,600642,申能股份,上海
10,300226,上海钢联,上海
11,300017,网宿科技,上海
12,600654,ST中安,上海
13,603037,凯众股份,上海
14,600000,浦发银行,上海
15,600637,东方明珠,上海
16,600019,宝钢股份,上海
17,600825,新华传媒,上海
18,300642,透景生命,上海
19,002565,顺灏股份,上海
20,603006,联明股份,上海
21,300326,凯利泰,上海
22,300245,天玑科技,上海
23,601607,上海医药,上海
24,600606,绿地控股,上海
25,002506,协鑫集成,上海
26,603648,畅联股份,上海
27,603987,康德莱,上海
28,600882,广泽股份,上海
29,002184,海得控制,上海
30,600026,中远海能,上海
31,603868,飞科电器,上海
32,603030,全筑股份,上海
33,603466,风语筑,上海
34,300462,华铭智能,上海
35,603650,彤程新材,上海
36,300129,泰胜风能,上海
37,300230,永利股份,上海
38,002636,金安国纪,上海
39,600073,上海梅林,上海
40,603690,至纯科技,上海
41,603009,北特科技,上海
42,600500,中化国际,上海
43,603887,城地股份,上海
44,002252,上海莱士,上海
45,300627,华测导航,上海
46,600651,飞乐音响,上海
47,600838,上海九百,上海
48,600822,上海物贸,上海
49,600621,华鑫股份,上海
50,600643,爱建集团,上海
51,600072,中船科技,上海
52,600641,万业企业,上海
53,600767,ST运盛,上海
54,600824,益民集团,上海
55,300236,上海新阳,上海
56,603855,华荣股份,上海
57,600692,亚通股份,上海
58,002486,嘉麟杰,上海
59,600210,紫江企业,上海
60,601616,广电电气,上海
61,600193,*ST创兴,上海
62,600272,开开实业,上海
63,600604,市北高新,上海
64,600638,新黄浦,上海
65,600615,丰华股份,上海
66,600088,中视传媒,上海
67,600652,游久游戏,上海
68,300153,科泰电源,上海
69,002605,姚记扑克,上海
70,600708,光明地产,上海
71,600649,城投控股,上海
72,300442,普丽盛,上海
73,002561,徐家汇,上海
74,600818,中路股份,上海
75,600614,鹏起科技,上海
76,002706,良信电器,上海
77,002028,思源电气,上海
78,600741,华域汽车,上海
79,603159,上海亚虹,上海
80,601727,上海电气,上海
81,300061,康旗股份,上海
82,300609,汇纳科技,上海
83,000668,荣丰控股,上海
84,603039,泛微网络,上海
85,600094,大名城,上海
86,300286,安科瑞,上海
87,600841,上柴股份,上海
88,300508,维宏股份,上海
89,600618,氯碱化工,上海
90,600836,界龙实业,上海
91,600021,上海电力,上海
92,603108,润达医疗,上海
93,603378,亚士创能,上海
94,600623,华谊集团,上海
95,300180,华峰超纤,上海
96,603157,拉夏贝尔,上海
97,600150,*ST船舶,上海
98,603499,翔港科技,上海
99,300336,新文化,上海
100,002278,神开股份,上海
101,300590,移为通信,上海
102,600018,上港集团,上海
103,603226,菲林格尔,上海
104,600629,华建集团,上海
105,300225,金力泰,上海
106,603128,华贸物流,上海
107,603899,晨光文具,上海
108,600420,现代制药,上海
109,603501,韦尔股份,上海
110,603496,恒为科技,上海
111,002178,延华智能,上海
112,601200,上海环境,上海
113,600663,陆家嘴,上海
114,603131,上海沪工,上海
115,300039,上海凯宝,上海
116,002825,纳尔股份,上海
117,600636,三爱富,上海
118,603633,徕木股份,上海
119,601866,中远海发,上海
120,600532,宏达矿业,上海
121,603214,爱婴室,上海
122,600834,申通地铁,上海
123,603730,岱美股份,上海
124,600655,豫园股份,上海
125,600827,百联股份,上海
126,600517,置信电气,上海
127,603991,至正股份,上海
128,603895,天永智能,上海
129,300008,天海防务,上海
130,603728,鸣志电器,上海
131,002158,汉钟精机,上海
132,600530,交大昂立,上海
133,600696,ST岩石,上海
134,603886,元祖股份,上海
135,603777,来伊份,上海
136,600081,东风科技,上海
137,603196,日播时尚,上海
138,603232,格尔软件,上海
139,603189,网达软件,上海
140,600009,上海机场,上海
141,600844,丹化科技,上海
142,603020,爱普股份,上海
143,300272,开能健康,上海
144,600061,国投资本,上海
145,600816,安信信托,上海
146,002858,力盛赛车,上海
147,600634,*ST富控,上海
148,300262,巴安水务,上海
149,601611,中国核建,上海
150,300168,万达信息,上海
151,002162,悦心健康,上海
152,600675,中华企业,上海
153,601601,中国太保,上海
154,603587,地素时尚,上海
155,600647,同达创业,上海
156,002058,威 尔 泰,上海
157,600624,复旦复华,上海
158,600688,上海石化,上海
159,600320,振华重工,上海
160,600843,上工申贝,上海
161,600612,老凤祥,上海
162,600846,同济科技,上海
163,600626,申达股份,上海
164,300330,华虹计通,上海
165,600833,第一医药,上海
166,600845,宝信软件,上海
167,600151,航天机电,上海
168,600490,鹏欣资源,上海
169,002324,普利特,上海
170,600619,海立股份,上海
171,600616,金枫酒业,上海
172,600635,大众公用,上海
173,600119,长江投资,上海
174,002401,中远海科,上海
175,600605,汇通能源,上海
176,600196,复星医药,上海
177,601968,宝钢包装,上海
178,603918,金桥信息,上海
179,600171,上海贝岭,上海
180,600613,神奇制药,上海
181,002669,康达新材,上海
182,600315,上海家化,上海
183,002527,新时达,上海
184,603885,吉祥航空,上海
185,600610,*ST毅达,上海
186,300327,中颖电子,上海
187,603960,克来机电,上海
188,600848,上海临港,上海
189,603003,龙宇燃油,上海
